model,id,analysis_subset,gold_label,baseline_pred_label,text,total_abs_attribution,identity_abs_attribution,context_abs_attribution,other_abs_attribution,identity_share,context_share,other_share,top_identity_words,top_context_words,top_non_identity_content_words
baseline,11678017_gab,common_identity_fp_all_models,non_hateful,hateful,in the meantime jewish advocacy receives billions in funding from jews and that ok but when whites do it ooh better watch out it all a scam better not organise someone might kike you,6.371390893124044,3.1168628558516502,0.0,3.2545280372723937,0.48919661470077824,0.0,0.5108033852992218,kike:2.27721;jews:0.51498;jewish:0.23828;whites:0.08639,,might:0.44634;billions:0.33443;organise:0.22714;out:0.21031;funding:-0.16242;advocacy:0.14609;someone:0.12179;watch:0.09345
baseline,15879649_gab,common_identity_fp_all_models,non_hateful,hateful,andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,4.7098183780908585,1.091818392276764,0.004505351185798645,3.613494634628296,0.23181751495040376,0.000956587032475954,0.7672258980171203,white:0.72638;white:0.33521;women:0.03023,raped:0.00451,sharia:0.35932;being:0.30265;cancer:-0.25851;shock:0.24945;andrew:0.21065;denounced:0.19806;must:0.16062;into:0.13377
baseline,1178981039353581568_twitter,common_identity_fp_all_models,non_hateful,hateful,f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,4.427865093573928,0.0889072148129344,0.0,4.3389578787609935,0.020079025203808415,0.0,0.9799209747961916,white:-0.07916;white:0.00975,,puke:0.74114;sacks:0.58362;these:0.30421;win:0.29779;nazi:0.24925;bathtub:0.20179;gop:0.10811;am:0.10660
baseline,12597139_gab,common_identity_fp_all_models,non_hateful,hateful,the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,5.319115212187171,1.2154793860390782,0.052199047058820724,4.051436779089272,0.2285115733635866,0.009813483065608756,0.7616749435708047,islam:0.39403;islamofascism:0.29306;moslem:0.28598;muslim:0.14237;stupid:0.10004,dead:-0.05220,slaves:-0.36553;end:0.35190;dhimmi:0.34137;french:0.29833;either:0.27047;deserve:0.20703;european:0.19883;politicians:0.17231
baseline,10979482_gab,common_identity_fp_all_models,non_hateful,hateful,wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,4.390314520802349,1.3224114417098463,0.34587597101926804,2.7220271080732346,0.30121109443160576,0.07878159284042768,0.6200073127279666,kike:1.06190;jew:0.20381;white:0.02927;white:0.02522;white:0.00221,king:0.28945;hate:0.05643,trumps:0.30984;king:0.28945;wishful:0.24824;president:0.13614;mr:0.12988;thinking:0.08230;understand:0.07674;refuse:-0.07067
baseline,1213875760420794368_twitter,common_identity_fp_all_models,non_hateful,hateful,<user> yet colin nike exploits asians at an alarming rate i hate graham and the cult45 but i agree with him on this,5.705357847735286,0.46730341017246246,0.08900405466556549,5.149050382897258,0.08190606490317803,0.015600082771476852,0.9024938523253451,asians:0.46730,hate:0.08900,nike:2.47759;exploits:0.78167;rate:-0.33697;yet:0.28817;<user>:-0.19913;graham:-0.11102;hate:0.08900;alarming:-0.07353
baseline,1226925254062362627_twitter,common_identity_fp_all_models,non_hateful,hateful,us black trans women are dying white vegans us eat meat white vegans you should be ashamed of yourself,7.287289686501026,3.132179379463196,0.0,4.15511030703783,0.42981403432681486,0.0,0.5701859656731851,white:0.80831;white:0.70311;black:0.67649;women:0.61090;trans:0.33337,,us:-0.64330;us:0.64036;vegans:0.49568;dying:0.28179;ashamed:0.26355;vegans:0.22543;eat:0.16684;meat:0.15694
baseline,1178821631797538822_twitter,common_identity_fp_all_models,non_hateful,hateful,i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,6.105161285027862,2.893467389047146,0.14635448157787323,3.0653394144028425,0.473937911541012,0.02397225474399655,0.5020898337149915,towelhead:2.88425;white:-0.00922,attack:0.14635,comments:0.82938;her:0.21288;<user>:0.20103;now:-0.16048;cancel:-0.15140;singh:0.15081;attack:0.14635;impunity:0.13062
baseline,1178832944707915776_twitter,common_identity_fp_all_models,non_hateful,hateful,no chinks niggers or redskins ah i can already tell by the blunt racist dialogue from one of the white characters in the opening scene that this is going to be a good exploitation film,8.544605599716306,5.787754133343697,0.0,2.756851466372609,0.6773576692101341,0.0,0.3226423307898659,niggers:2.57536;chinks:2.24339;redskins:0.88956;white:-0.07944,,no:0.62322;exploitation:0.16443;ah:-0.16392;film:0.11528;blunt:0.08148;dialogue:0.07784;scene:0.04610;can:-0.04608
baseline,10318118_gab,common_identity_fp_all_models,non_hateful,hateful,clapton told the crowd that england had become overcrowded vote for powell to stop britain from becoming a black colony that britain should get the foreigners out get the wogs out get the coons out then repeatedly shouted the national front slogan keep britain white prophetic,4.526076499372721,1.640369925647974,0.0,2.8857065737247467,0.3624264693438824,0.0,0.6375735306561175,coons:1.59067;white:0.03150;black:0.01819,,wogs:0.38449;vote:0.15523;england:0.13889;get:0.13250;keep:0.13120;out:0.12579;should:0.12505;overcrowded:0.11979
